Position,Company,Worktime,Location,URL
Python Data Scientist,Nucleus Health,Full-Time,서울,https://kr.indeed.com/company/Nucleus-Health/jobs/Data-Scientist-af052cb851a21d79?fccid=796221aebe1bd414&vjs=3
IT Engineer (Back-End Developer),BOEING,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=9a034f7a903f14f8&fccid=edae4285faf6c2f0&vjs=3
AI 연구개발자 전문연구요원(병역특례),라이트비전,Full-Time,서울 성동구,https://kr.indeed.com/rc/clk?jk=6294b618df66c2aa&fccid=e391d8e930358bac&vjs=3
Mid or Senior AI/ML Software Engineer,BOEING,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=8613f039bfe626e6&fccid=edae4285faf6c2f0&vjs=3
국내 대기업 - 고객 데이터분석 포지션,라피플코리아리미티드,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=75c348600e4ba140&fccid=28f5722fca6f5b12&vjs=3
8퍼센트 개발자 (신입/경력),8퍼센트,Full-Time,서울 종로구,https://kr.indeed.com/rc/clk?jk=8af26b37623864c4&fccid=ac216a9ae7b75c06&vjs=3
[디지털일자리매칭플랫폼] 웹개발자(C# / Python) / 기술지원 엔지니어 SE,엔피코어,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=e6ff900e4b9e58da&fccid=009afa2764ae78d4&vjs=3
데이터 엔지니어 (+분석가),토이스미스,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=d8f4680a6018ca9c&fccid=008985cb11d73d3d&vjs=3
Data Scientist,보잉코리아,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=bb6609bd38c6fe05&fccid=e9f9929a39dc8bd4&vjs=3
[경력직 채용] WM Digital사업부 빅데이터센터,NH투자증권,Full-Time,서울 여의도,https://kr.indeed.com/rc/clk?jk=0dbdfb4953cb84b2&fccid=b449d5d42bf7e581&vjs=3
백엔드 Python Java·JSP 정규직 신입/경력자를 모십니다.,주식회사 소프트랩스 관심기업,Full-Time,서울 가산동,https://kr.indeed.com/rc/clk?jk=bc28778edbe6e0f8&fccid=5d00ed32cfbf2240&vjs=3
인공지능 AI 개발자 정규직 경력,스펠릭스,Full-Time,서울 영등포구,https://kr.indeed.com/rc/clk?jk=499a887d25babecc&fccid=03af3eb9ca1a431a&vjs=3
인공지능 Python  IoT  ubuntu  Deeplearning  싱글컴퓨터 개발 보드 개발자,알엑스오그룹,Full-Time,광주 동구,https://kr.indeed.com/rc/clk?jk=e18d4451d113b200&fccid=a91a18e3f3e1b7d1&vjs=3
[디지털일자리매칭플랫폼] People Data Analyst,비바리퍼블리카,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=6635ebd0231f3e0a&fccid=17dc934b27d58446&vjs=3
개발자 - Python 서버 프로그램 개발,바인테크,Full-Time,서울 송파구,https://kr.indeed.com/rc/clk?jk=4cc15c26097421c5&fccid=aef44811e748bebe&vjs=3
대형병원 MSO의 기획 전문가 (신입도 가능),수커리어컨설팅,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=bff8342a679ba85c&fccid=efe4ac4fe5392744&vjs=3
파이썬 백엔드 엔지니어(Python Backend Engineer),Dunamu,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=272637ad170fe32c&fccid=54c9c086b03b7cdc&vjs=3
Strategic Data Analyst,JTI - Japan Tobacco International,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=1b202e41da8ab4b4&fccid=09dc3054e100db9a&vjs=3
Senior Software Engineer (Python),EvolutionIQ,Full-Time,USA Only,https://weworkremotely.com/remote-jobs/evolutioniq-senior-software-engineer-python
Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),OpenCraft,Full-Time,Anywhere in the World,https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
